角色ID,名字,泛用性評估,功能定位與戰術價值,培養建議
346,午睡のミシェリアCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <漂浮敵人> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <使動作停止> 控制 <漂浮敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
347,とどめきCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
351,ネコニセたま軍団,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
352,双輝星のシシル＆コマリΦ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <攻擊力下降> 控制 <黑色敵人、異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
355,常夏の果実カイμ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
356,超時空基地アルマゲドン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
358,道化の狼姫ディル,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <天使、異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
359,満腹の花嫁ヴェルヴェーヌ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
360,火炎の大精霊メラフェニックス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
361,流水の大精霊ミズマリナーデ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <異星敵人> 發揮壓制效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。 擅長以 <多種控場能力> 控制 <異星敵人> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
362,嵐の大精霊エアフワンティ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
363,セイバーオルタCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
364,遠坂 凛CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <異星敵人、不死生物> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
366,アーチャーCC,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
367,ランサーCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
368,ライダーCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
369,ギルガメッシュCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
379,黒蝶のミタマダーク,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
381,英傑ダルターニャ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
394,サンバ新島早紀CC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
395,暗黒スバルCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
396,野球マン5号CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
397,古龍皇帝ガングリオン,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
398,天誅Z・風隼さくら,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <鋼鐵敵人> 發揮壓制效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。 擅長以 <多種控場能力> 控制 <鋼鐵敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
402,天雷の精霊王ギガボルト,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
413,エヴァ零号機＆ネコ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人、天使> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
414,決意のエヴァ初号機＆ネコ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人、不死生物> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
415,エヴァ改2号機コード777,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
416,ネコトウジ＆ネコケンスケ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <黑色敵人、鋼鐵敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
417,ファーストムーンネルフ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
418,超地底戦隊グランドン,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <不死生物> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <使動作停止> 控制 <不死生物> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
428,ネコクエストヘブン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
431,ぐでネコマシン・卵,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
432,聖魔探偵ゼログラヴィティー,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
436,ちびネコヴァルキリー・華,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <不死生物> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
437,ノビランターバン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
439,灼熱のビーチクウγ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人、不死生物> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
440,Gクロノストリガー,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <使動作停止> 發揮壓制能力。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
441,円環の理の使者なぎさ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
442,黒傑ダークダルターニャ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <無屬性> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
457,黒桜CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
468,スーパーSゼウス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
469,ヘッドロココ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
472,ブラックライスト,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
483,幸せを願ったネコ耳ソウマ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <使動作變慢> 控制 <漂浮敵人、天使、異星敵人> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
485,黒ちびネコヴァルキリー・紅,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
486,カレットCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
487,剣士ひな,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
488,エヴァ8号機＆ネコ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
489,神殺しの船NNNネコヴンダー,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
495,潮風のセーラーカッパーκ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
497,豪炎姫の武神・成田甲斐,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
503,絢爛令嬢メルシュξ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
506,角龍皇帝グラディオス,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <無屬性> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
507,無名のアイウォルツCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
513,春麗CC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
516,ブランカCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
518,紅蓮の格闘王ケン,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
520,シン・ラスヴォース,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
526,超銃戦隊キンレンジャー,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
527,冬天使のシシル＆コマリΦ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
530,祝祭の聖女キャスリィ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <多種控場能力> 發揮壓制能力。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
531,エルメCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <不死生物> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
534,バッドブラスター・サキ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <詛咒> 控制 <無特定屬性> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
535,Gデスハーデス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
536,初音ミクCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
537,桜ミクCC,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <使動作停止> 控制 <異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
538,鏡音リン＆レンCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
544,漆黒の魔女ダークキャスリィ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【戰術控場型角色】 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <多種控場能力> 發揮壓制能力。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
547,スケランカクラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極低，幾乎沒有對策性，不推薦抽取及培養。
548,白天姫のレイ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
549,第4のネコ使徒,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <黑色敵人> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <打飛敵人> 控制 <黑色敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
550,第6のネコ使徒,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性壓制型角色】。 主要針對 <漂浮敵人> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <使動作變慢> 控制 <漂浮敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
551,第10のネコ使徒,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
552,第9のネコ使徒,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
560,閻魔総長エマ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
561,巡音ルカCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人、漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
564,アクアブラスター・サキ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
565,ファビュラスパサラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
570,岩石の精霊王ダイゴロー,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
571,ハロウィンナイトバルス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
573,バイソンCC,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
574,バルログCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <使動作停止> 控制 <鋼鐵敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
575,サガットCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
576,ベガCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人、異星敵人、不死生物> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
583,初音ミクCC マジカルミライ2020大阪,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
584,初音ミクCC マジカルミライ2020東京,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
585,前田クリス慶次DX,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、惡魔> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
586,帝獣ガルディアン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
588,メガショコラディーテ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、黑色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
589,初恋令嬢メルシュξ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
591,雪ミクCC 2021,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <無屬性> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <使動作停止> 控制 <無屬性> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
595,超輸送兵団アトランチス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <不死生物> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
596,神春龍王かむくら,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
598,天道あかね(道着),泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
599,響良牙,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
600,シャンプー,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
